flags,intent,utterance,category,input_ids,attention_mask,labels
BMP,recover_password,I would like information about forgotten passwords,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2592, 2055, 6404, 20786, 2015, 102]"
BIP,switch_account,could you help me to use another account?,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2000, 2224, 2178, 4070, 1029, 102]"
B,delivery_period,I don't know how to check when will my item arrive,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 2000, 4638, 2043, 2097, 2026, 8875, 7180, 102]"
BM,payment_issue,help to report an issue with payments,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2000, 3189, 2019, 3277, 2007, 10504, 102]"
B,payment_issue,question about my payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 3160, 2055, 2026, 7909, 102]"
BIM,check_invoice,can you help me finding the invoice from 10 purchases ago?,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 4531, 1996, 1999, 6767, 6610, 2013, 2184, 17402, 3283, 1029, 102]"
BLQ,newsletter_subscription,tell me more about unsubscribing to ur corporate newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2425, 2033, 2062, 2055, 4895, 6342, 5910, 26775, 12322, 2075, 2000, 24471, 5971, 17178, 102]"
B,switch_account,help me using another account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 2478, 2178, 4070, 102]"
BL,complaint,assistance to make a consumer complaint,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 5375, 2000, 2191, 1037, 7325, 12087, 102]"
BIP,track_refund,where could I check the status of my refund?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2073, 2071, 1045, 4638, 1996, 3570, 1997, 2026, 25416, 8630, 1029, 102]"
BI,edit_account,how can I edit the information on my account?,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 10086, 1996, 2592, 2006, 2026, 4070, 1029, 102]"
B,contact_customer_service,I want to check at what time I can contact customer service,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 4638, 2012, 2054, 2051, 1045, 2064, 3967, 8013, 2326, 102]"
B,create_account,I need help creating an account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 4526, 2019, 4070, 102]"
BL,create_account,I want assistance to open a different account for my dad,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 2330, 1037, 2367, 4070, 2005, 2026, 3611, 102]"
B,check_invoice,I need assistance to check the invoice from my last purchase,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 4638, 1996, 1999, 6767, 6610, 2013, 2026, 2197, 5309, 102]"
B,cancel_order,question about cancelling an order I have made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 3160, 2055, 17542, 2989, 2019, 2344, 1045, 2031, 2081, 102]"
BM,cancel_order,I have problems with canceling an order,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 3471, 2007, 17542, 2075, 2019, 2344, 102]"
BIM,check_invoice,how do I check the invoices from August?,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2079, 1045, 4638, 1996, 1999, 6767, 23522, 2013, 2257, 1029, 102]"
BI,get_refund,when am I getting a refund?,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2043, 2572, 1045, 2893, 1037, 25416, 8630, 1029, 102]"
