flags,utterance,category,intent
BLZ,assistance cancelling the subscription tl the newsletter,NEWSLETTER,newsletter_subscription
BM,help to buy some items,ORDER,place_order
BIL,what do I need to do to create another online account?,ACCOUNT,create_account
BL,I need help to chat with someone,CONTACT,contact_human_agent
BILM,what do I have to do to change some of my personal details?,ACCOUNT,edit_account
BIP,how could I check when my delivery is going to arrive?,DELIVERY,delivery_period
BIMP,how could I report registration issues?,ACCOUNT,registration_problems
BP,I don't know how I could check my refund status,REFUND,track_refund
B,check if there is anything new on my refund,REFUND,track_refund
BM,issues setting a different shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
B,help me to check the status of my refund,REFUND,track_refund
BI,can you help me deleting an account?,ACCOUNT,delete_account
BEM,I do not know how I can report payment issues,PAYMENT,payment_issue
BIP,how could I make a purchase?,ORDER,place_order
BIMP,could you help me checking the invoices from 1 months ago?,INVOICE,check_invoice
B,I am trying to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
B,I call to leave a review for a service,FEEDBACK,review
BM,assistance buying several of your item,ORDER,place_order
BI,how can I create an account?,ACCOUNT,create_account
B,I have got to recover my password,ACCOUNT,recover_password
BL,I want assistance chatting with a human agent,CONTACT,contact_human_agent
B,I want assistance checking the refund status,REFUND,track_refund
B,I have to get a refund of money,REFUND,get_refund
B,information about the delivery period,DELIVERY,delivery_period
B,problem with the options for delivery,DELIVERY,delivery_options
BKL,lodge complaint against your organization,FEEDBACK,complaint
BIM,can you help me getting my invoices?,INVOICE,get_invoice
BM,I want help getting my invoices,INVOICE,get_invoice
BI,can you help me to check the options for delivery?,DELIVERY,delivery_options
BLQ,i need help to see what payment options are available,PAYMENT,check_payment_methods
BILQ,how to see the withdrawal charge,CANCELLATION_FEE,check_cancellation_fee
BMP,I would like to add several items to an order,ORDER,change_order
BL,I need help to open a new freemium account,ACCOUNT,create_account
B,customer service mail,CONTACT,contact_customer_service
BI,how do I recover my password?,ACCOUNT,recover_password
BE,I do not know what to do to delete my account,ACCOUNT,delete_account
BIMP,could you help me to buy a few of your item?,ORDER,place_order
B,I need help to track the last order,ORDER,track_order
BIP,would it be possible to get a refund?,REFUND,get_refund
BI,what do I have to do to leave a review for your company?,FEEDBACK,review
B,I have a question about canceling the last order I made,ORDER,cancel_order
BM,assistance reporting payment issues,PAYMENT,payment_issue
B,assistance cancelling my order,ORDER,cancel_order
BM,I want help solving payment issues,PAYMENT,payment_issue
BM,I don't know what I need to do to buy a few of your item,ORDER,place_order
BIP,where could I check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BL,assistance using my new user profile,ACCOUNT,switch_account
BIM,where do I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BM,I want to check what options for delivery I can choose,DELIVERY,delivery_options
B,I need help leaving a review for your services,FEEDBACK,review
B,I want assistance to find the invoice from last month,INVOICE,check_invoice
BLP,I don't know how I could create another standard account,ACCOUNT,create_account
BI,how do I check what hours customer service available is?,CONTACT,contact_customer_service
BEL,I do not know how I can list the accepted payment options,PAYMENT,check_payment_methods
B,I can't switch to another account,ACCOUNT,switch_account
BLQ,wanna check at what time i can reach customer service,CONTACT,contact_customer_service
BELQW,i do not know how to make a fucking consumer reclamation,FEEDBACK,complaint
BIP,where could I get the invoice from my last purchase?,INVOICE,get_invoice
BM,I want assistance checking the invoices,INVOICE,check_invoice
BLQ,I'm trying to open a different online account for my mother,ACCOUNT,create_account
BIL,can you help me speaking with an agent?,CONTACT,contact_human_agent
B,I have to check in what cases can I ask to be refunded,REFUND,check_refund_policy
BLQ,help me to see what hours i can reach customer service,CONTACT,contact_customer_service
BM,information about the delivery periods,DELIVERY,delivery_period
BMP,I would like information about forgotten passwords,ACCOUNT,recover_password
BIP,could you help me to use another account?,ACCOUNT,switch_account
B,I don't know how to check when will my item arrive,DELIVERY,delivery_period
BM,help to report an issue with payments,PAYMENT,payment_issue
B,question about my payment,PAYMENT,payment_issue
BIM,can you help me finding the invoice from 10 purchases ago?,INVOICE,check_invoice
BLQ,tell me more about unsubscribing to ur corporate newsletter,NEWSLETTER,newsletter_subscription
B,help me using another account,ACCOUNT,switch_account
BL,assistance to make a consumer complaint,FEEDBACK,complaint
BIP,where could I check the status of my refund?,REFUND,track_refund
BI,how can I edit the information on my account?,ACCOUNT,edit_account
B,I want to check at what time I can contact customer service,CONTACT,contact_customer_service
B,I need help creating an account,ACCOUNT,create_account
BL,I want assistance to open a different account for my dad,ACCOUNT,create_account
B,I need assistance to check the invoice from my last purchase,INVOICE,check_invoice
B,question about cancelling an order I have made,ORDER,cancel_order
BM,I have problems with canceling an order,ORDER,cancel_order
BIM,how do I check the invoices from August?,INVOICE,check_invoice
BI,when am I getting a refund?,REFUND,get_refund
BL,I need help to recover the PIN code of my account,ACCOUNT,recover_password
BEL,I do not know how to open a different account,ACCOUNT,create_account
BI,can you help me making a purchase?,ORDER,place_order
BL,tell me more about a standard account removal,ACCOUNT,delete_account
BI,how to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
BIMP,would you give me information about order cancellations?,ORDER,cancel_order
BL,I want to cancel the subscription to your newsletter,NEWSLETTER,newsletter_subscription
BIP,could I check how soon can I expect the delivery?,DELIVERY,delivery_period
BIP,could I file a complaint against your business?,FEEDBACK,complaint
BI,what do I have to do to get my money back?,REFUND,get_refund
BM,I have problems with cancelling the last order I have made,ORDER,cancel_order
BM,assistance buying some of your item,ORDER,place_order
B,I want help to subscribe to your company newsletter,NEWSLETTER,newsletter_subscription
BI,how can I set a new shipping address up?,SHIPPING_ADDRESS,set_up_shipping_address
BIMP,could you help me to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BI,where is my order?,ORDER,track_order
BL,help me restore my password,ACCOUNT,recover_password
BIM,how can I check what options for delivery you offer?,DELIVERY,delivery_options
BM,I need information about user account deletions,ACCOUNT,delete_account
BILQ,can uhelp me signing up to the newsletter,NEWSLETTER,newsletter_subscription
BM,assistance checking what delivery options I can choose,DELIVERY,delivery_options
B,help me remove an item from an order,ORDER,change_order
B,help me canceling an order I made,ORDER,cancel_order
B,I have to file a complaint against your business,FEEDBACK,complaint
BILZ,can I changew to another profile?,ACCOUNT,switch_account
BIM,what do I need to do to check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BL,help me change the information on my account,ACCOUNT,edit_account
BI,what do I need to do to check the invoice from last month?,INVOICE,check_invoice
BELQ,i do not know how i can reset my user account key,ACCOUNT,recover_password
BM,I want to check the invoice from 9 months ago,INVOICE,check_invoice
B,I put the old address by mistake,SHIPPING_ADDRESS,change_shipping_address
BM,I want help to find the invoices from last month,INVOICE,check_invoice
BELZ,I do no know what to do to list your payment methods,PAYMENT,check_payment_methods
B,show me the refund status,REFUND,track_refund
BM,help me checking if there is any updates on my refund,REFUND,track_refund
BELQ,i do not know what i have to do to recover my pin code,ACCOUNT,recover_password
BCILPQZ,i have got to subscribe to ur newsletter will  uhelp me,NEWSLETTER,newsletter_subscription
BI,can you help me to subscribe to your company newsletter?,NEWSLETTER,newsletter_subscription
BIM,can you help me check what delivery options I can choose?,DELIVERY,delivery_options
B,I need to check the invoice from February,INVOICE,check_invoice
BE,I do not know what to do to set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BI,can I register?,ACCOUNT,create_account
B,assistance to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BIM,where do I buy several of your item?,ORDER,place_order
B,assistance to set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
B,I am trying to check in what cases can I ask for refunds,REFUND,check_refund_policy
BM,I am trying to buy several items,ORDER,place_order
BI,can you help me checking the status of my refund?,REFUND,track_refund
B,I don't know what I have to do to get a refund,REFUND,get_refund
B,I have a problem with canceling the last order I have made,ORDER,cancel_order
B,I need assistance to check the status of my order,ORDER,track_order
BIL,where do I notify of a sign-up error?,ACCOUNT,registration_problems
B,I have a problem with changing the order I have made,ORDER,change_order
BI,where do I check if there is anything wrong with my refund?,REFUND,track_refund
BI,can you help me checking how long refunds usually take?,REFUND,check_refund_policy
BW,help me to use another bloody account,ACCOUNT,switch_account
BIMP,would it be possible to get the invoices from last month?,INVOICE,get_invoice
BM,help me removing several items,ORDER,change_order
BCEILQZ,ay are not being helpful can i speak with a live agent,CONTACT,contact_human_agent
B,I want help getting my money back,REFUND,get_refund
BE,I do not know how I can delete an account,ACCOUNT,delete_account
BIL,can you help me to subscribe to your corporate newsletter?,NEWSLETTER,newsletter_subscription
BI,how can I check how long the delivery takes?,DELIVERY,delivery_period
BMP,I would like to check what delivery options I have,DELIVERY,delivery_options
BILQ,is it possible to edit the info included on my account?,ACCOUNT,edit_account
BILP,could you help me subscribing to the company newsletter?,NEWSLETTER,newsletter_subscription
BI,can you tell me about delivery period?,DELIVERY,delivery_period
BLMZ,I try to see ther cancellation penalties,CANCELLATION_FEE,check_cancellation_fee
BM,I don't know how to buy several of your item,ORDER,place_order
BI,what do I need to do to check the status of the refund?,REFUND,track_refund
B,tell me about the options for delivery,DELIVERY,delivery_options
BEL,I do not know how to speak with customer service,CONTACT,contact_customer_service
BL,question about my key reset,ACCOUNT,recover_password
BIM,how to get the invoices from March?,INVOICE,get_invoice
BLZ,I need  assistance to see the termination penalty,CANCELLATION_FEE,check_cancellation_fee
B,help deleting the account,ACCOUNT,delete_account
BI,how can I subscribe to your company newsletter?,NEWSLETTER,newsletter_subscription
B,I want help to add something,ORDER,change_order
BILQ,can uhelp me to open a new account,ACCOUNT,create_account
B,I can't change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BM,I need assistance checking the invoice from four months ago,INVOICE,check_invoice
BE,I do not know how I can get a refund,REFUND,get_refund
BI,what do I have to do to edit my account?,ACCOUNT,edit_account
BILQ,can uhelp me cancel my subscription to ur newsletter,NEWSLETTER,newsletter_subscription
BIP,how could I leave a review for your services?,FEEDBACK,review
BKL,switching to new profile,ACCOUNT,switch_account
B,I don't know what I need to do to file a complaint,FEEDBACK,complaint
BM,I need help solving payment issues,PAYMENT,payment_issue
BM,I want help to report issues with payment,PAYMENT,payment_issue
B,help me leaving a review for your company,FEEDBACK,review
BEL,I do not know how I can cancel an online account,ACCOUNT,delete_account
BI,how do I cancel the company newsletter subscription?,NEWSLETTER,newsletter_subscription
B,when can I expect a refund,REFUND,get_refund
BEL,I do not know how to check the payment options,PAYMENT,check_payment_methods
BILQ,is it possible to see the early termination penalty,CANCELLATION_FEE,check_cancellation_fee
BIM,where to get refunds of money?,REFUND,get_refund
BIP,could you help me checking the status of my order?,ORDER,track_order
BE,I do not know how to report a registration issue,ACCOUNT,registration_problems
B,I need assistance to edit my personal information,ACCOUNT,edit_account
BM,help me buying several items,ORDER,place_order
B,help cancelling the subscription to your company newsletter,NEWSLETTER,newsletter_subscription
BEP,I do not know how I could report an issue with payment,PAYMENT,payment_issue
BIP,could you help me track the refund?,REFUND,track_refund
BMP,I don't know how I could report issues with payment,PAYMENT,payment_issue
B,help me check in what cases can I ask to be refunded,REFUND,check_refund_policy
BLQ,i need help regarding the online signup,ACCOUNT,registration_problems
B,I need assistance checking how soon can I expect the item,DELIVERY,delivery_period
B,check your allowed payment methods,PAYMENT,check_payment_methods
B,I have to submit some feedback for your services,FEEDBACK,review
BI,can you help me to get my money back?,REFUND,get_refund
BILQ,what do i need to do to use a different account,ACCOUNT,switch_account
B,I want assistance changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
BIMP,could you help me finding the invoices from last month?,INVOICE,check_invoice
BE,I do not know how I can track an order,ORDER,track_order
BILZ,how do I talk with an aent?,CONTACT,contact_human_agent
B,I don't know how I can submit some feedback for a service,FEEDBACK,review
BL,information about the lost key,ACCOUNT,recover_password
BILQZ,how do i talk to a hyman agent,CONTACT,contact_human_agent
B,help me get the invoice,INVOICE,get_invoice
B,show me what payment methods are available,PAYMENT,check_payment_methods
B,I don't know how I can check your allowed payment methods,PAYMENT,check_payment_methods
B,help me to report an issue with payment,PAYMENT,payment_issue
BLZ,assistance toi notify of a sign-up problem,ACCOUNT,registration_problems
BK,status of order,ORDER,track_order
BIP,how could I edit my account?,ACCOUNT,edit_account
B,assistance to get a refund,REFUND,get_refund
B,I need help submitting some feedback for your company,FEEDBACK,review
BI,can I delete an account?,ACCOUNT,delete_account
BIP,how could I edit my personal information?,ACCOUNT,edit_account
B,help me check when my item is going to arrive,DELIVERY,delivery_period
BIP,would you give me information about a forgotten password?,ACCOUNT,recover_password
B,help me checking what hours customer service available is,CONTACT,contact_customer_service
BIP,could you tell me about a user account deletion?,ACCOUNT,delete_account
BI,how to check if there is anything new on my refund?,REFUND,track_refund
B,I want help setting another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BLZ,help me making a consumer clpaim against your company,FEEDBACK,complaint
BE,I do not know what I need to do to get my invoice,INVOICE,get_invoice
BL,I don't know how I can restore my PIN,ACCOUNT,recover_password
B,I need assistance to set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BL,I want information about the subscription to the newsletter,NEWSLETTER,newsletter_subscription
BI,how do I get a refund of money?,REFUND,get_refund
B,I don't want to pay for the last order I have made,ORDER,cancel_order
BI,can you help me to check my refund status?,REFUND,track_refund
BL,I need help to see the early exit penalty,CANCELLATION_FEE,check_cancellation_fee
BCELQZ,I'm not happy with ur service make a cutomer complaint,FEEDBACK,complaint
BLZ,I want to filea claim,FEEDBACK,complaint
BIP,how could I cancel the last order I made?,ORDER,cancel_order
BM,question about cancelling orders,ORDER,cancel_order
BEP,I do not know how I could cancel my last order,ORDER,cancel_order
BM,I try to get the invoices from May,INVOICE,get_invoice
BM,help me checking the invoices from 3 purchases ago,INVOICE,check_invoice
BIP,could you tell me about delivery period?,DELIVERY,delivery_period
BK,get invoice from September,INVOICE,get_invoice
BL,I don't know what I need to do to inform of a signup issue,ACCOUNT,registration_problems
BIM,where do I report an issue with payments?,PAYMENT,payment_issue
B,I want to find the invoice from last month,INVOICE,check_invoice
B,I need assistance setting up a new shipping address,SHIPPING_ADDRESS,set_up_shipping_address
BM,I am trying to report registration issues,ACCOUNT,registration_problems
BIP,could you help me canceling the order I have made?,ORDER,cancel_order
B,I want to subscribe to your company newsletter,NEWSLETTER,newsletter_subscription
BI,what do I have to do to track the last order?,ORDER,track_order
BI,how can I report a payment issue?,PAYMENT,payment_issue
B,assistance to check in what cases can I ask for a refund,REFUND,check_refund_policy
BIL,how do I report a signup error?,ACCOUNT,registration_problems
B,help taking a quick look at the invoice from last month,INVOICE,check_invoice
BIP,could you help me checking your allowed payment methods?,PAYMENT,check_payment_methods
BCELZ,"I am not happy with your service, I try to lodge an claim",FEEDBACK,complaint
B,I need to file a complaint,FEEDBACK,complaint
B,I need assistance with adding an item,ORDER,change_order
BIP,will you show me the invoice from last month?,INVOICE,check_invoice
B,help me checking how long refunds take,REFUND,check_refund_policy
BK,cancel subscription to your company newsletter,NEWSLETTER,newsletter_subscription
BM,I need help solving an issue with payments,PAYMENT,payment_issue
BIM,is it possible to add some items to an order?,ORDER,change_order
BIP,could you show me in what cases can I ask for refunds?,REFUND,check_refund_policy
B,I want assistance leaving a review,FEEDBACK,review
B,I don't know how to set a different shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BIP,how could I submit some feedback?,FEEDBACK,review
B,information about the options for delivery,DELIVERY,delivery_options
B,I need help to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
BE,I am trying to find information about canceling an order,ORDER,cancel_order
BIP,how could I create an account?,ACCOUNT,create_account
BI,can you help me registering?,ACCOUNT,create_account
B,help to check your allowed payment methods,PAYMENT,check_payment_methods
B,I don't know how to cancel my order,ORDER,cancel_order
B,I need assistance with cancelling an order,ORDER,cancel_order
BKM,get invoices from last month,INVOICE,get_invoice
BILQ,can ya help me check the withdrawal charge,CANCELLATION_FEE,check_cancellation_fee
BQ,need to switch to another account,ACCOUNT,switch_account
B,help me submit some feedback,FEEDBACK,review
BIP,could I check your allowed payment methods?,PAYMENT,check_payment_methods
BI,where can I get my money back?,REFUND,get_refund
BM,I have to get the invoices,INVOICE,get_invoice
B,help with changing something of an order,ORDER,change_order
B,I want help to edit the information on my account,ACCOUNT,edit_account
BI,can you show me when my item is going to arrive?,DELIVERY,delivery_period
B,I need to set up another shipping address,SHIPPING_ADDRESS,set_up_shipping_address
BL,I don't know how I can see your available payment options,PAYMENT,check_payment_methods
BE,I am trying to find information about delivery periods,DELIVERY,delivery_period
BI,how to leave a review for a service?,FEEDBACK,review
BIM,can you help me get the invoices from 3 purchases ago?,INVOICE,get_invoice
BM,give me information about forgotten passwords,ACCOUNT,recover_password
BI,how do I check the status of my order?,ORDER,track_order
BI,is it possible to change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BLQ,I'm trying to unsubscribe to ur corporate newsletter,NEWSLETTER,newsletter_subscription
B,I need to check your money back policy,REFUND,check_refund_policy
B,help checking my order ETA,ORDER,track_order
BKM,issues with registration,ACCOUNT,registration_problems
BI,how do I use another account?,ACCOUNT,switch_account
B,help to leave a review for your services,FEEDBACK,review
BI,can you help me take a quick look at my invoice?,INVOICE,check_invoice
BELQ,i do not know what to do to change my user data,ACCOUNT,edit_account
BLM,there are errors with my online sign-up,ACCOUNT,registration_problems
BLM,I want help seeing the cancellation penalties,CANCELLATION_FEE,check_cancellation_fee
BELWZ,I do not know how to speak ot bloody customer service,CONTACT,contact_customer_service
BEL,I do not know what to do to sign up to your newsletter,NEWSLETTER,newsletter_subscription
BIMP,could you tell me more about forgotten passwords?,ACCOUNT,recover_password
BKM,get invoices,INVOICE,get_invoice
BEP,I do not know how I could switch to another account,ACCOUNT,switch_account
BIM,can you help me to check the invoice from 11 months ago?,INVOICE,check_invoice
BM,I have problems with canceling an order I have made,ORDER,cancel_order
BM,I don't know what I have to do to buy several items,ORDER,place_order
BM,I need assistance buying some items,ORDER,place_order
BE,I do not know how I can add an item,ORDER,change_order
B,help me to remove something from an order,ORDER,change_order
B,I am trying to report an issue with payment,PAYMENT,payment_issue
B,I want assistance to delete my account,ACCOUNT,delete_account
BI,what do I need to do to get the invoice?,INVOICE,get_invoice
BI,where can I submit some feedback for your company?,FEEDBACK,review
BLZ,I need assistance cchecking your available payment methods,PAYMENT,check_payment_methods
B,I want help changing an order I made,ORDER,change_order
BIMP,could you help me getting the invoices from May?,INVOICE,get_invoice
B,help editing my account,ACCOUNT,edit_account
B,help me checking the refund status,REFUND,track_refund
B,set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
BM,I am trying to buy a few of your item,ORDER,place_order
BLQ,i want help signing up to the corporate newsletter,NEWSLETTER,newsletter_subscription
BIM,how can I report registration issues?,ACCOUNT,registration_problems
BCILQ,need to correct the personal data how can i do it,ACCOUNT,edit_account
BIMP,how could I buy some items?,ORDER,place_order
BM,I call to check what options for delivery I have,DELIVERY,delivery_options
BIPQ,where could i subscribe to ur company newsletter,NEWSLETTER,newsletter_subscription
BLQ,need help opening a new account,ACCOUNT,create_account
BE,I do not know how I can switch user,ACCOUNT,switch_account
BCIL,"I have got to talk with customer support, how to do it?",CONTACT,contact_customer_service
BI,can you help me to change an order I have made?,ORDER,change_order
BE,I do not know how I can set another shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
B,help submitting some feedback for a service,FEEDBACK,review
B,I want to remove an item from an order,ORDER,change_order
BK,leave review for your services,FEEDBACK,review
BI,can I file a complaint against your business?,FEEDBACK,complaint
BL,I can't retrieve my account PIN,ACCOUNT,recover_password
BIP,could you help me get my invoice?,INVOICE,get_invoice
BIP,could you help me switching to another account?,ACCOUNT,switch_account
B,I want help setting up a different shipping address,SHIPPING_ADDRESS,set_up_shipping_address
BIM,can you tell me about forgotten passwords?,ACCOUNT,recover_password
B,help me to track my last order,ORDER,track_order
BM,I need to check what options for delivery I can choose,DELIVERY,delivery_options
B,help me checking what hours I can contact customer service,CONTACT,contact_customer_service
BI,can you tell me about changing my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BIP,will you show me what payment methods you accept?,PAYMENT,check_payment_methods
BLZ,I need assistance with ouruser sign-up,ACCOUNT,registration_problems
BM,I need to check what options for delivery you offer,DELIVERY,delivery_options
BIP,where could I check the options for delivery?,DELIVERY,delivery_options
B,I want to edit my personal information,ACCOUNT,edit_account
BP,I would like to check in what cases can I ask for refunds,REFUND,check_refund_policy
BILP,could you help me speak with an agent?,CONTACT,contact_human_agent
BCELQZ,I'm not happy wih ur service help me to file a claim,FEEDBACK,complaint
B,I want to know more about a forgotten password,ACCOUNT,recover_password
BILQ,what do i need to do to make a complaint,FEEDBACK,complaint
BLQ,i try to create a new account for my father,ACCOUNT,create_account
BKM,getting invoice from eleven months ago,INVOICE,get_invoice
BCELZ,"I do not make use of the online accoynt, help cancelling it",ACCOUNT,delete_account
BLQ,i want help creating a new online account,ACCOUNT,create_account
BE,I do not know how I can register,ACCOUNT,create_account
BI,can you help me canceling the last order?,ORDER,cancel_order
B,I need help to subscribe to your company newsletter,NEWSLETTER,newsletter_subscription
BCEL,"I cannot sign up, I want to report a sign-up error",ACCOUNT,registration_problems
B,I try to set up a new shipping address,SHIPPING_ADDRESS,set_up_shipping_address
BLMQ,i need assistance to update the user details,ACCOUNT,edit_account
BIP,could you help me to leave a review for your company?,FEEDBACK,review
BM,I want to remove some items from an order,ORDER,change_order
BIM,can you tell me about the delivery periods?,DELIVERY,delivery_period
BIP,could I cancel the subscription to your company newsletter?,NEWSLETTER,newsletter_subscription
B,I don't know how to check your money back policy,REFUND,check_refund_policy
BM,I want help to get the invoices,INVOICE,get_invoice
BP,I would like to change the last order,ORDER,change_order
B,I need assistance checking how long refunds take,REFUND,check_refund_policy
BP,I don't know how I could cancel the order I made,ORDER,cancel_order
BEM,I do not know how to take a quick look at my invoices,INVOICE,check_invoice
BI,can you tell me what payment methods are available?,PAYMENT,check_payment_methods
B,assistance setting a different shipping address up,SHIPPING_ADDRESS,set_up_shipping_address
B,I try to check in what cases can I ask for my money back,REFUND,check_refund_policy
B,I try to check when my item is going to arrive,DELIVERY,delivery_period
BE,I do not know what I have to do to edit my account,ACCOUNT,edit_account
BIP,could I check my order ETA?,ORDER,track_order
BLQ,need help lodging a reclamation against ur organization,FEEDBACK,complaint
B,I need to check how long refunds usually take,REFUND,check_refund_policy
B,help me check how long the delivery takes,DELIVERY,delivery_period
BILQ,what do i need to do to contact someone,CONTACT,contact_human_agent
B,help me switch user,ACCOUNT,switch_account
BIP,could I check what payment methods you accept?,PAYMENT,check_payment_methods
BLQ,wanna know about canceling my newsletter subscription,NEWSLETTER,newsletter_subscription
B,I want assistance to register,ACCOUNT,create_account
BIM,where can I get information about user account deletions?,ACCOUNT,delete_account
BM,assistance to check what delivery options I have,DELIVERY,delivery_options
BIL,is it possible to create another online account?,ACCOUNT,create_account
B,I want help with my registration,ACCOUNT,registration_problems
B,I have to change my last order,ORDER,change_order
BIM,how do I change several items of an order?,ORDER,change_order
B,I need assistance to leave a review for your company,FEEDBACK,review
BI,where do I get a refund of money?,REFUND,get_refund
BP,I would like to subscribe to your company newsletter,NEWSLETTER,newsletter_subscription
BI,can you help me check the status of my refund?,REFUND,track_refund
B,help me talking to an agent,CONTACT,contact_human_agent
B,I want help to cancel an order I have made,ORDER,cancel_order
B,why I can't set up a new shipping address valid,SHIPPING_ADDRESS,set_up_shipping_address
BLQ,need assistance canceling the subscription to the newsletter,NEWSLETTER,newsletter_subscription
BL,give me information about my password retrieval,ACCOUNT,recover_password
BLQ,want assistance opening a new user account for my father,ACCOUNT,create_account
BIM,can you help me check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BIQ,what do i need to do to create an account,ACCOUNT,create_account
B,I need help to leave a review,FEEDBACK,review
BL,I need assistance to speak with a live agent,CONTACT,contact_human_agent
BI,where to check your refund policy?,REFUND,check_refund_policy
B,I don't know what I have to do to check the invoice,INVOICE,check_invoice
BI,where to check the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BI,how do I get my money back?,REFUND,get_refund
BELQ,I'm looking for information about modifying my address,SHIPPING_ADDRESS,change_shipping_address
BI,where to check what hours I can contact customer service?,CONTACT,contact_customer_service
B,assistance leaving a review for your services,FEEDBACK,review
BIP,where could I check what payment methods you accept?,PAYMENT,check_payment_methods
BILZ,where canI list your accepted payment options?,PAYMENT,check_payment_methods
B,I need information about the delivery period,DELIVERY,delivery_period
BMP,I would like to get the invoices from February,INVOICE,get_invoice
BIMP,where could I take a quick look at my invoices?,INVOICE,check_invoice
B,anybody available at customer service,CONTACT,contact_customer_service
BI,how to contact an agent?,CONTACT,contact_human_agent
B,help with our registration,ACCOUNT,registration_problems
BIP,will you give me information about delivery period?,DELIVERY,delivery_period
B,help checking if there is anything new on my refund,REFUND,track_refund
B,I want help to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
BIP,could you help me check how long refunds take?,REFUND,check_refund_policy
BL,help me create a new user account for my father,ACCOUNT,create_account
BILQZ,can  i call customer assistance,CONTACT,contact_customer_service
B,I want help to solve an issue with payment,PAYMENT,payment_issue
BI,what do I need to do to get my money back?,REFUND,get_refund
BIP,could you tell me more about a password recovery?,ACCOUNT,recover_password
B,I don't know what to do to report a payment issue,PAYMENT,payment_issue
BIMP,could you help me remove several items?,ORDER,change_order
BM,I have to check if there is any updates on my refund,REFUND,track_refund
B,show me what hours I can contact customer service,CONTACT,contact_customer_service
BI,where do I get my money back?,REFUND,get_refund
BIP,where could I change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
BM,I don't know how I can report issues with payments,PAYMENT,payment_issue
